;;;"Палитра-Трейд";;;"В начало";;
;;"Прайс-лист на 25.03.09";;;"www.palitra-trade.com";;;
;;"г.Перми т/ф (342)294-60-82, 294-64-14, 296-23-53, 296-26-15";;;;;;
;;"Код ";"Наименование товара";"Артикул";"Цена";;;"Заказ"
"*";0;58767;"Плитка для пола АЛЕКСАНДРИЯ 300х300 розовая (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
"*";0;59911;"Плитка для пола ГАРМОНИЯ 3П 300х300 беж. (1кор.- 1,35кв.м) 1/15 ""Керамин""";"                         ";32.1;;;
"*";0;58759;"Плитка для пола ДЕНИА 2П 300х300 желтая (1кор.- 1,62кв.м) 1/18 ""Пиастрелла""";"                         ";32.1;;;
"*";0;40799;"Плитка для пола ДЕНИА 5П 300х300 розовая (1кор.- 1,62кв.м) 1/18";"                         ";32.1;;;
"*";0;52032;"Плитка для пола ДЕНИА 7П 300х300 зеленая (1кор.- 1,62кв.м) 1/18 ""Пиастрелла""";"                         ";32.1;;;
"*";0;58780;"Плитка для пола ИМПЕРИО 300х300 бежевая (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
"*";0;58779;"Плитка для пола КАМЕННЫЙ ЦВЕТОК 300х300 бежевая (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
"*";0;59915;"Плитка для пола КАМЕННЫЙ ЦВЕТОК с РИСУНКОМ 300х300 беж. (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
"*";0;58753;"Плитка для пола МАРГО 7П 300х300 зел. (1 кор. - 1,62кв.м) 1/18  ""Пиастрелла""";"                         ";25.4;;;
"*";0;58771;"Плитка для пола МАРИОН 300х300 бежевая (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
"*";0;58760;"Плитка для пола МАРИОН 300х300 голубая (1 кор. - 1,35кв.м) 1/15 Харьков";"                         ";25.4;;;
"*";0;58750;"Плитка для пола ОМЕЛИЯ 6П 300х300 беж. (1 кор. - 1,62кв.м) 1/18  ""Пиастрелла""";"                         ";25.4;;;
"*";0;58769;"Плитка обл. АЛЕКСАНДРИЯ 200х300 бирюзовая Верх (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;58768;"Плитка обл. АЛЕКСАНДРИЯ 200х300 бирюзовая Низ (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;58765;"Плитка обл. АЛЕКСАНДРИЯ 200х300 розовая Верх (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;58766;"Плитка обл. АЛЕКСАНДРИЯ 200х300 розовая Низ (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;59907;"Плитка обл. ГАРМОНИЯ 3С 200х300 св. бежевая (1кор. -1,2кв.м) 1/20 ""Керамин""";"                         ";19.1;;;
"*";0;59908;"Плитка обл. ГАРМОНИЯ 3Т 200х300 бежевая (1кор. -1,2кв.м) 1/20 ""Керамин""";"                         ";19.1;;;
"*";0;58758;"Плитка обл. ДЕНИА 2С 200х300 желтая (1кор. -1,32кв.м) 1/22 ""Пиастрелла""";"                         ";20.1;;;
"*";0;40824;"Плитка обл. ДЕНИА 5С 200х300 розовая (1кор. -1,32кв.м) 1/22 ""Пиастрелла""";"                         ";20.1;;;
"*";0;40825;"Плитка обл. ДЕНИА 7С 200х300 зелен. (1кор. -1,32кв.м) 1/22 ""Пиастрелла""";"                         ";20.1;;;
"*";0;58781;"Плитка обл. ИМПЕРИО 250х400 бежевая Верх (1 кор. - 1,2кв.м) 1/12  Харьков";"                         ";25.3;;;
"*";0;58782;"Плитка обл. ИМПЕРИО 250х400 коричневая Низ (1 кор. - 1,2 кв. м) 1/12 Харьков";"                         ";26.5;;;
"*";0;58777;"Плитка обл. КАМЕННЫЙ ЦВЕТОК 250х400 бежевая ВЕРХ (1 кор. - 1,5кв. м) 1/15  Харьков";"                         ";25.3;;;
"*";0;58778;"Плитка обл. КАМЕННЫЙ ЦВЕТОК 250х400 бежевая НИЗ (1 кор. - 1,5кв.м) 1/15  Харьков";"                         ";26.5;;;
"*";0;59900;"Плитка обл. МАРГО 4С 200х300 св. голубая ВЕРХ (1 кор. - 1,32кв.м) 1/22  ""Пиастрелла""";"                         ";15.4;;;
"*";0;59901;"Плитка обл. МАРГО 4Т 200х300 голубая НИЗ (1 кор. - 1,32кв.м) 1/22  ""Пиастрелла""";"                         ";15.4;;;
"*";0;58751;"Плитка обл. МАРГО 7С 200х300 св. зел. (1 кор. - 1,32кв.м) 1/22  ""Пиастрелла""";"                         ";15.4;;;
"*";0;58752;"Плитка обл. МАРГО 7Т 200х300 зел. (1 кор. - 1,32кв.м) 1/22  ""Пиастрелла""";"                         ";15.4;;;
"*";0;58772;"Плитка обл. МАРИОН 200х300 бежевая Верх (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;58773;"Плитка обл. МАРИОН 200х300 бежевая Низ (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;58774;"Плитка обл. МАРИОН 200х300 голубая Верх (1 кор. -1,44кв.м) 1/24 Харьков";"                         ";14.7;;;
"*";0;58775;"Плитка обл. МАРИОН 200х300 голубая Низ (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;59913;"Плитка обл. МАРИОН 200х300 розовая Верх (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;59914;"Плитка обл. МАРИОН 200х300 розовая Низ (1 кор. - 1,44кв.м) 1/24  Харьков";"                         ";14.7;;;
"*";0;58745;"Плитка обл. ОМЕЛИЯ 6С 200х300 св. беж. (1 кор. - 1,32кв.м) 1/22  ""Пиастрелла""";"                         ";15.4;;;
"*";0;58746;"Плитка обл. ОМЕЛИЯ 6Т 200х300 беж. (1 кор. - 1,32кв.м) 1/22  ""Пиастрелла""";"                         ";15.9;;;
"*";0;59912;"Плитка обл. ОРЛЕЦ 4С св. голубая (1кор. -1,32кв.м) 1/22 ""Пиастрелла""";"                         ";11.1;;;
